origin,orig_region,destination,dest_region,"1990","1995","2000","2005","2010","2015","2020",1990.1,1995.1,2000.1,2005.1,2010.1,2015.1,2020.1,1990.2,1995.2,2000.2,2005.2,2010.2,2015.2,2020.2,dest_subregion,orig_subregion
Peru,Latin America and the Caribbean,Mexico,Latin America and the Caribbean,2981,4140,5479,5373,5888,4730,5187,1630,2093,2659,2713,3085,3119,3443,1351,2047,2820,2660,2803,1611,1744,Central America,South America
Peru,Latin America and the Caribbean,Bolivia,Latin America and the Caribbean,7138,8306,9386,9549,9691,11284,12565,3932,4590,5197,5404,5600,6520,7251,3206,3716,4189,4145,4091,4764,5314,South America,South America
Peru,Latin America and the Caribbean,Puerto Rico,Latin America and the Caribbean,703,916,1132,925,603,686,2094,333,435,537,439,283,321,976,370,481,595,486,320,365,1118,Caribbean,South America
Peru,Latin America and the Caribbean,Uruguay,Latin America and the Caribbean,555,240,104,96,88,90,106,279,145,71,66,60,62,75,276,95,33,30,28,28,31,South America,South America
Peru,Latin America and the Caribbean,Bahamas,Latin America and the Caribbean,43,41,39,165,290,314,335,27,22,18,74,129,138,148,16,19,21,91,161,176,187,Caribbean,South America
Peru,Latin America and the Caribbean,French Guiana,Latin America and the Caribbean,309,344,379,399,419,584,656,165,176,187,195,204,297,334,144,168,192,204,215,287,322,South America,South America
Peru,Latin America and the Caribbean,Guatemala,Latin America and the Caribbean,210,249,288,343,397,436,491,77,111,146,186,226,252,284,133,138,142,157,171,184,207,Central America,South America
Peru,Latin America and the Caribbean,Aruba,Latin America and the Caribbean,141,540,939,1019,1079,1134,1268,83,295,507,534,550,577,633,58,245,432,485,529,557,635,Caribbean,South America
Peru,Latin America and the Caribbean,Curaçao,Latin America and the Caribbean,0,0,0,0,98,105,122,0,0,0,0,42,46,55,0,0,0,0,56,59,67,Caribbean,South America
Peru,Latin America and the Caribbean,Nicaragua,Latin America and the Caribbean,221,176,185,199,212,228,237,125,99,106,115,123,133,139,96,77,79,84,89,95,98,Central America,South America
Peru,Latin America and the Caribbean,El Salvador,Latin America and the Caribbean,246,209,172,198,224,234,237,135,116,98,115,132,138,140,111,93,74,83,92,96,97,Central America,South America
Peru,Latin America and the Caribbean,Cayman Islands,Latin America and the Caribbean,4,8,15,14,15,15,16,2,2,4,4,5,6,6,2,6,11,10,10,9,10,Caribbean,South America
Peru,Latin America and the Caribbean,Honduras,Latin America and the Caribbean,291,288,285,280,274,384,392,171,165,160,159,157,221,227,120,123,125,121,117,163,165,Central America,South America
Peru,Latin America and the Caribbean,Haiti,Latin America and the Caribbean,351,333,316,300,315,330,345,208,198,188,179,188,197,207,143,135,128,121,127,133,138,Caribbean,South America
Peru,Latin America and the Caribbean,Cuba,Latin America and the Caribbean,191,145,88,78,65,52,39,82,59,32,30,27,22,16,109,86,56,48,38,30,23,Caribbean,South America
Mexico,Latin America and the Caribbean,Colombia,Latin America and the Caribbean,1908,2072,2236,2264,3125,4265,5641,945,1047,1150,1184,1668,2323,3107,963,1025,1086,1080,1457,1942,2534,South America,Central America
Mexico,Latin America and the Caribbean,Peru,Latin America and the Caribbean,930,931,1088,1278,1928,3294,6148,440,434,509,602,984,1905,3570,490,497,579,676,944,1389,2578,South America,Central America
Mexico,Latin America and the Caribbean,Venezuela,Latin America and the Caribbean,2886,3012,3115,3344,3627,3831,3610,1284,1378,1461,1530,1620,1681,1552,1602,1634,1654,1814,2007,2150,2058,South America,Central America
Mexico,Latin America and the Caribbean,Argentina,Latin America and the Caribbean,2332,2686,3040,2244,1445,1450,1463,1211,1358,1505,1129,752,754,765,1121,1328,1535,1115,693,696,698,South America,Central America
Mexico,Latin America and the Caribbean,Chile,Latin America and the Caribbean,746,1223,1700,2552,3403,5155,10558,365,614,848,1294,1739,2729,4913,381,609,852,1258,1664,2426,5645,South America,Central America
Mexico,Latin America and the Caribbean,Dominican Republic,Latin America and the Caribbean,1737,1930,2122,1775,1426,1497,1563,773,833,893,819,743,780,815,964,1097,1229,956,683,717,748,Caribbean,Central America
Mexico,Latin America and the Caribbean,Ecuador,Latin America and the Caribbean,656,797,937,1121,1785,2258,2361,296,364,432,530,819,1028,1221,360,433,505,591,966,1230,1140,South America,Central America
Mexico,Latin America and the Caribbean,Costa Rica,Latin America and the Caribbean,2081,1778,2365,1550,3056,3100,3720,962,842,1106,714,1412,1423,1809,1119,936,1259,836,1644,1677,1911,Central America,Central America
Mexico,Latin America and the Caribbean,Brazil,Latin America and the Caribbean,792,1027,1261,1973,2657,3131,3400,480,594,707,1075,1425,1669,1852,312,433,554,898,1232,1462,1548,South America,Central America
Mexico,Latin America and the Caribbean,Panama,Latin America and the Caribbean,1393,1810,2341,2935,4127,4832,5801,554,795,1078,1500,2255,2634,3259,839,1015,1263,1435,1872,2198,2542,Central America,Central America
Mexico,Latin America and the Caribbean,Paraguay,Latin America and the Caribbean,3059,2440,1813,1727,1645,1605,1738,1512,1219,913,870,827,806,876,1547,1221,900,857,818,799,862,South America,Central America
Mexico,Latin America and the Caribbean,Bolivia,Latin America and the Caribbean,8125,8770,9323,8760,8179,9524,10606,4025,4341,4609,4307,3998,4655,5176,4100,4429,4714,4453,4181,4869,5430,South America,Central America
Mexico,Latin America and the Caribbean,Puerto Rico,Latin America and the Caribbean,1907,2302,2703,3118,3142,2647,1831,903,1092,1283,1476,1473,1235,851,1004,1210,1420,1642,1669,1412,980,Caribbean,Central America
Mexico,Latin America and the Caribbean,Uruguay,Latin America and the Caribbean,719,657,602,557,516,532,635,359,311,269,249,228,235,290,360,346,333,308,288,297,345,South America,Central America
Mexico,Latin America and the Caribbean,Bahamas,Latin America and the Caribbean,21,51,82,103,124,134,143,9,31,54,66,79,85,92,12,20,28,37,45,49,51,Caribbean,Central America
Mexico,Latin America and the Caribbean,Belize,Latin America and the Caribbean,3025,2782,2539,2764,2988,3523,3997,1702,1528,1354,1467,1586,1860,2112,1323,1254,1185,1297,1402,1663,1885,South America,Central America
Mexico,Latin America and the Caribbean,Guatemala,Latin America and the Caribbean,5402,8236,11070,13160,15250,16720,18872,1558,3466,5374,7133,8892,9895,11108,3844,4770,5696,6027,6358,6825,7764,Central America,Central America
Mexico,Latin America and the Caribbean,Curaçao,Latin America and the Caribbean,0,0,0,0,13,13,15,0,0,0,0,3,4,6,0,0,0,0,10,9,9,Caribbean,Central America
Mexico,Latin America and the Caribbean,Nicaragua,Latin America and the Caribbean,925,734,725,735,785,846,885,395,310,315,326,351,381,399,530,424,410,409,434,465,486,Central America,Central America
